_initial_assets,vars,id,creation_time,failed,failed_reason,time_of_death,type,origin_id,network_id,contents,complete,node_id,participant_id,module_state_id,trial_maker_id,definition,finalized,is_repeat_trial,score,performance_reward,parent_trial_id,answer,propagate_failure,response_id,repeat_trial_index,n_repeat_trials,time_taken,time_credit_before_trial,time_credit_after_trial,time_credit_from_trial,progress_before_trial,progress_after_trial,async_post_trial_required,async_post_trial_requested,async_post_trial_complete,async_post_trial_failed,block_position,block,class,object_type,name
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 126}}}",{},16,2026-03-10 01:15:57,False,,,CustomTrial,126,126,,True,126,1,3,label_experiment,"{""name"": ""0-20_0-34.mp4""}",True,False,,0.0,,(3) Somewhat Dissimilar,True,20.0,,,4.866,220.0,230.0,10.0,0.4271844660194174,0.44660194174757273,False,False,False,False,0,block-a,CustomTrial,Info,0-20_0-34.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 612}}}",{},17,2026-03-10 01:16:02,False,,,CustomTrial,612,612,,True,612,1,3,label_experiment,"{""name"": ""0-12_0-21.mp4""}",True,False,,0.0,,(4) Somewhat Similar,True,21.0,,,2.538,230.0,240.0,10.0,0.44660194174757273,0.46601941747572806,False,False,False,False,0,block-a,CustomTrial,Info,0-12_0-21.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 216}}}",{},18,2026-03-10 01:16:06,False,,,CustomTrial,216,216,,True,216,1,3,label_experiment,"{""name"": ""0-7_0-18.mp4""}",True,False,,0.0,,(4) Somewhat Similar,True,22.0,,,3.945,240.0,250.0,10.0,0.46601941747572806,0.4854368932038834,False,False,False,False,0,block-a,CustomTrial,Info,0-7_0-18.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 454}}}",{},19,2026-03-10 01:16:11,False,,,CustomTrial,454,454,,True,454,1,3,label_experiment,"{""name"": ""0-19_0-21.mp4""}",True,False,,0.0,,(5) Very Similar,True,23.0,,,3.105,250.0,260.0,10.0,0.4854368932038834,0.5048543689320387,False,False,False,False,0,block-a,CustomTrial,Info,0-19_0-21.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 579}}}",{},20,2026-03-10 01:16:15,False,,,CustomTrial,579,579,,True,579,1,3,label_experiment,"{""name"": ""0-4_0-25.mp4""}",True,False,,0.0,,(3) Somewhat Dissimilar,True,24.0,,,2.646,260.0,270.0,10.0,0.5048543689320387,0.524271844660194,False,False,False,False,0,block-a,CustomTrial,Info,0-4_0-25.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 221}}}",{},21,2026-03-10 01:16:18,False,,,CustomTrial,221,221,,True,221,1,3,label_experiment,"{""name"": ""0-6_0-13.mp4""}",True,False,,0.0,,(5) Very Similar,True,25.0,,,2.589,270.0,280.0,10.0,0.524271844660194,0.5436893203883494,False,False,False,False,0,block-a,CustomTrial,Info,0-6_0-13.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 185}}}",{},22,2026-03-10 01:16:21,False,,,CustomTrial,185,185,,True,185,1,3,label_experiment,"{""name"": ""0-8_0-16.mp4""}",True,False,,0.0,,(5) Very Similar,True,26.0,,,2.575,280.0,290.0,10.0,0.5436893203883494,0.5631067961165047,False,False,False,False,0,block-a,CustomTrial,Info,0-8_0-16.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 413}}}",{},23,2026-03-10 01:16:25,False,,,CustomTrial,413,413,,True,413,1,3,label_experiment,"{""name"": ""0-6_0-12.mp4""}",True,False,,0.0,,(6) Extremely Similar,True,27.0,,,2.319,290.0,300.0,10.0,0.5631067961165047,0.58252427184466,False,False,False,False,0,block-a,CustomTrial,Info,0-6_0-12.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 600}}}",{},24,2026-03-10 01:16:28,False,,,CustomTrial,600,600,,True,600,1,3,label_experiment,"{""name"": ""0-13_0-19.mp4""}",True,False,,0.0,,(5) Very Similar,True,28.0,,,3.352,300.0,310.0,10.0,0.58252427184466,0.6019417475728154,False,False,False,False,0,block-a,CustomTrial,Info,0-13_0-19.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 68}}}",{},25,2026-03-10 01:16:32,False,,,CustomTrial,68,68,,True,68,1,3,label_experiment,"{""name"": ""0-1_0-25.mp4""}",True,False,,0.0,,(2) Very Dissimilar,True,29.0,,,2.99,310.0,320.0,10.0,0.6019417475728154,0.6213592233009707,False,False,False,False,0,block-a,CustomTrial,Info,0-1_0-25.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 243}}}",{},26,2026-03-10 01:16:36,False,,,CustomTrial,243,243,,True,243,1,3,label_experiment,"{""name"": ""0-27_0-29.mp4""}",True,False,,0.0,,(6) Extremely Similar,True,30.0,,,2.536,320.0,330.0,10.0,0.6213592233009707,0.640776699029126,False,False,False,False,0,block-a,CustomTrial,Info,0-27_0-29.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 10}}}",{},27,2026-03-10 01:16:39,False,,,CustomTrial,10,10,,True,10,1,3,label_experiment,"{""name"": ""0-13_0-27.mp4""}",True,False,,0.0,,(3) Somewhat Dissimilar,True,31.0,,,2.672,330.0,340.0,10.0,0.640776699029126,0.6601941747572814,False,False,False,False,0,block-a,CustomTrial,Info,0-13_0-27.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 42}}}",{},28,2026-03-10 01:16:43,False,,,CustomTrial,42,42,,True,42,1,3,label_experiment,"{""name"": ""0-16_0-25.mp4""}",True,False,,0.0,,(5) Very Similar,True,32.0,,,3.371,340.0,350.0,10.0,0.6601941747572814,0.6796116504854367,False,False,False,False,0,block-a,CustomTrial,Info,0-16_0-25.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 17}}}",{},29,2026-03-10 01:16:47,False,,,CustomTrial,17,17,,True,17,1,3,label_experiment,"{""name"": ""0-25_0-34.mp4""}",True,False,,0.0,,(6) Extremely Similar,True,33.0,,,2.194,350.0,360.0,10.0,0.6796116504854367,0.699029126213592,False,False,False,False,0,block-a,CustomTrial,Info,0-25_0-34.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 49}}}",{},30,2026-03-10 01:16:50,False,,,CustomTrial,49,49,,True,49,1,3,label_experiment,"{""name"": ""0-3_0-29.mp4""}",True,False,,0.0,,(1) Extremely Dissimilar,True,34.0,,,2.612,360.0,370.0,10.0,0.699029126213592,0.7184466019417474,False,False,False,False,0,block-a,CustomTrial,Info,0-3_0-29.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 282}}}",{},31,2026-03-10 01:16:53,False,,,CustomTrial,282,282,,True,282,1,3,label_experiment,"{""name"": ""0-11_0-20.mp4""}",True,False,,0.0,,(3) Somewhat Dissimilar,True,35.0,,,6.133,370.0,380.0,10.0,0.7184466019417474,0.7378640776699027,False,False,False,False,0,block-a,CustomTrial,Info,0-11_0-20.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 512}}}",{},32,2026-03-10 01:17:00,False,,,CustomTrial,512,512,,True,512,1,3,label_experiment,"{""name"": ""0-4_0-33.mp4""}",True,False,,0.0,,(3) Somewhat Dissimilar,True,36.0,,,2.114,380.0,390.0,10.0,0.7378640776699027,0.757281553398058,False,False,False,False,0,block-a,CustomTrial,Info,0-4_0-33.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 292}}}",{},33,2026-03-10 01:17:03,False,,,CustomTrial,292,292,,True,292,1,3,label_experiment,"{""name"": ""0-23_0-28.mp4""}",True,False,,0.0,,(4) Somewhat Similar,True,37.0,,,3.501,390.0,400.0,10.0,0.757281553398058,0.7766990291262134,False,False,False,False,0,block-a,CustomTrial,Info,0-23_0-28.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 48}}}",{},34,2026-03-10 01:17:08,False,,,CustomTrial,48,48,,True,48,1,3,label_experiment,"{""name"": ""0-4_0-31.mp4""}",True,False,,0.0,,(1) Extremely Dissimilar,True,38.0,,,2.327,400.0,410.0,10.0,0.7766990291262134,0.7961165048543687,False,False,False,False,0,block-a,CustomTrial,Info,0-4_0-31.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 444}}}",{},35,2026-03-10 01:17:11,False,,,CustomTrial,444,444,,True,444,1,3,label_experiment,"{""name"": ""0-5_0-23.mp4""}",True,False,,0.0,,(2) Very Dissimilar,True,39.0,,,3.834,410.0,420.0,10.0,0.7961165048543687,0.815533980582524,False,False,False,False,0,block-a,CustomTrial,Info,0-5_0-23.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 104}}}",{},36,2026-03-10 01:17:15,False,,,CustomTrial,104,104,,True,104,1,3,label_experiment,"{""name"": ""0-17_0-29.mp4""}",True,False,,0.0,,(5) Very Similar,True,40.0,,,3.829,420.0,430.0,10.0,0.815533980582524,0.8349514563106794,False,False,False,False,0,block-a,CustomTrial,Info,0-17_0-29.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 436}}}",{},37,2026-03-10 01:17:20,False,,,CustomTrial,436,436,,True,436,1,3,label_experiment,"{""name"": ""0-9_0-18.mp4""}",True,False,,0.0,,(5) Very Similar,True,41.0,,,3.173,430.0,440.0,10.0,0.8349514563106794,0.8543689320388347,False,False,False,False,0,block-a,CustomTrial,Info,0-9_0-18.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 406}}}",{},38,2026-03-10 01:17:24,False,,,CustomTrial,406,406,,True,406,1,3,label_experiment,"{""name"": ""0-16_0-26.mp4""}",True,False,,0.0,,(6) Extremely Similar,True,42.0,,,4.027,440.0,450.0,10.0,0.8543689320388347,0.87378640776699,False,False,False,False,0,block-a,CustomTrial,Info,0-16_0-26.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 276}}}",{},39,2026-03-10 01:17:29,False,,,CustomTrial,276,276,,True,276,1,3,label_experiment,"{""name"": ""0-1_0-30.mp4""}",True,False,,0.0,,(2) Very Dissimilar,True,43.0,,,2.69,450.0,460.0,10.0,0.87378640776699,0.8932038834951453,False,False,False,False,0,block-a,CustomTrial,Info,0-1_0-30.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 426}}}",{},40,2026-03-10 01:17:32,False,,,CustomTrial,426,426,,True,426,1,3,label_experiment,"{""name"": ""0-24_0-31.mp4""}",True,False,,0.0,,(6) Extremely Similar,True,44.0,,,2.561,460.0,470.0,10.0,0.8932038834951453,0.9126213592233007,False,False,False,False,0,block-a,CustomTrial,Info,0-24_0-31.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 259}}}",{},41,2026-03-10 01:17:36,False,,,CustomTrial,259,259,,True,259,1,3,label_experiment,"{""name"": ""0-0_0-24.mp4""}",True,False,,0.0,,(2) Very Dissimilar,True,45.0,,,2.856,470.0,480.0,10.0,0.9126213592233007,0.932038834951456,False,False,False,False,0,block-a,CustomTrial,Info,0-0_0-24.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 268}}}",{},42,2026-03-10 01:17:39,False,,,CustomTrial,268,268,,True,268,1,3,label_experiment,"{""name"": ""0-12_0-25.mp4""}",True,False,,0.0,,(3) Somewhat Dissimilar,True,46.0,,,2.708,480.0,490.0,10.0,0.932038834951456,0.9514563106796113,False,False,False,False,0,block-a,CustomTrial,Info,0-12_0-25.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 3}}}",{},43,2026-03-10 01:45:00,False,,,CustomTrial,3,3,,True,3,2,6,label_practice,"{""name"": ""0-18_0-19.mp4""}",True,False,,0.0,,(6) Extremely Similar,True,56.0,,,4.634,63.5,73.5,10.0,0.12330097087378641,0.14271844660194175,False,False,False,False,0,default-block,CustomTrial,Info,0-18_0-19.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 6}}}",{},44,2026-03-10 01:45:05,False,,,CustomTrial,6,6,,True,6,2,6,label_practice,"{""name"": ""0-0_0-34.mp4""}",True,False,,0.0,,(3) Somewhat Dissimilar,True,57.0,,,8.014,73.5,83.5,10.0,0.14271844660194175,0.16213592233009708,False,False,False,False,0,default-block,CustomTrial,Info,0-0_0-34.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 1}}}",{},45,2026-03-10 01:45:14,False,,,CustomTrial,1,1,,True,1,2,6,label_practice,"{""name"": ""0-34_0-35.mp4""}",True,False,,0.0,,(6) Extremely Similar,True,58.0,,,5.843,83.5,93.5,10.0,0.16213592233009708,0.1815533980582524,False,False,False,False,0,default-block,CustomTrial,Info,0-34_0-35.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 2}}}",{},46,2026-03-10 01:45:21,False,,,CustomTrial,2,2,,True,2,2,6,label_practice,"{""name"": ""0-7_0-23.mp4""}",True,False,,0.0,,(3) Somewhat Dissimilar,True,59.0,,,5.373,93.5,103.5,10.0,0.1815533980582524,0.20097087378640774,False,False,False,False,0,default-block,CustomTrial,Info,0-7_0-23.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 4}}}",{},47,2026-03-10 01:45:27,False,,,CustomTrial,4,4,,True,4,2,6,label_practice,"{""name"": ""0-0_0-1.mp4""}",True,False,,0.0,,(6) Extremely Similar,True,60.0,,,5.528,103.5,113.5,10.0,0.20097087378640774,0.22038834951456307,False,False,False,False,0,default-block,CustomTrial,Info,0-0_0-1.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 5}}}",{},48,2026-03-10 01:45:33,False,,,CustomTrial,5,5,,True,5,2,6,label_practice,"{""name"": ""0-1_0-35.mp4""}",True,False,,0.0,,(3) Somewhat Dissimilar,True,61.0,,,7.613,113.5,123.5,10.0,0.22038834951456307,0.2398058252427184,False,False,False,False,0,default-block,CustomTrial,Info,0-1_0-35.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 317}}}",{},49,2026-03-10 01:45:48,False,,,CustomTrial,317,317,,True,317,2,7,label_experiment,"{""name"": ""0-8_0-18.mp4""}",True,False,,0.0,,(5) Very Similar,True,63.0,,,7.832,130.0,140.0,10.0,0.2524271844660194,0.27184466019417475,False,False,False,False,0,block-a,CustomTrial,Info,0-8_0-18.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 190}}}",{},50,2026-03-10 01:45:57,False,,,CustomTrial,190,190,,True,190,2,7,label_experiment,"{""name"": ""0-19_0-33.mp4""}",True,False,,0.0,,(6) Extremely Similar,True,64.0,,,3.709,140.0,150.0,10.0,0.27184466019417475,0.2912621359223301,False,False,False,False,0,block-a,CustomTrial,Info,0-19_0-33.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 551}}}",{},51,2026-03-10 01:46:02,False,,,CustomTrial,551,551,,True,551,2,7,label_experiment,"{""name"": ""0-24_0-32.mp4""}",True,False,,0.0,,(6) Extremely Similar,True,65.0,,,3.489,150.0,160.0,10.0,0.2912621359223301,0.3106796116504854,False,False,False,False,0,block-a,CustomTrial,Info,0-24_0-32.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 96}}}",{},52,2026-03-10 01:46:06,False,,,CustomTrial,96,96,,True,96,2,7,label_experiment,"{""name"": ""0-10_0-17.mp4""}",True,False,,0.0,,(4) Somewhat Similar,True,66.0,,,5.163,160.0,170.0,10.0,0.3106796116504854,0.33009708737864074,False,False,False,False,0,block-a,CustomTrial,Info,0-10_0-17.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 67}}}",{},53,2026-03-10 01:46:13,False,,,CustomTrial,67,67,,True,67,2,7,label_experiment,"{""name"": ""0-7_0-20.mp4""}",True,False,,0.0,,(4) Somewhat Similar,True,67.0,,,9.192,170.0,180.0,10.0,0.33009708737864074,0.3495145631067961,False,False,False,False,0,block-a,CustomTrial,Info,0-7_0-20.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 19}}}",{},54,2026-03-10 01:46:23,False,,,CustomTrial,19,19,,True,19,2,7,label_experiment,"{""name"": ""0-4_0-30.mp4""}",True,False,,0.0,,(2) Very Dissimilar,True,68.0,,,10.347,180.0,190.0,10.0,0.3495145631067961,0.3689320388349514,False,False,False,False,0,block-a,CustomTrial,Info,0-4_0-30.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 80}}}",{},55,2026-03-10 01:46:34,False,,,CustomTrial,80,80,,True,80,2,7,label_experiment,"{""name"": ""0-13_0-23.mp4""}",True,False,,0.0,,(5) Very Similar,True,69.0,,,5.149,190.0,200.0,10.0,0.3689320388349514,0.38834951456310673,False,False,False,False,0,block-a,CustomTrial,Info,0-13_0-23.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 341}}}",{},56,2026-03-10 01:46:40,False,,,CustomTrial,341,341,,True,341,2,7,label_experiment,"{""name"": ""0-21_0-24.mp4""}",True,False,,0.0,,(6) Extremely Similar,True,70.0,,,4.649,200.0,210.0,10.0,0.38834951456310673,0.40776699029126207,False,False,False,False,0,block-a,CustomTrial,Info,0-21_0-24.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 611}}}",{},57,2026-03-10 01:46:46,False,,,CustomTrial,611,611,,True,611,2,7,label_experiment,"{""name"": ""0-5_0-35.mp4""}",True,False,,0.0,,(2) Very Dissimilar,True,71.0,,,4.736,210.0,220.0,10.0,0.40776699029126207,0.4271844660194174,False,False,False,False,0,block-a,CustomTrial,Info,0-5_0-35.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 148}}}",{},58,2026-03-10 01:46:51,False,,,CustomTrial,148,148,,True,148,2,7,label_experiment,"{""name"": ""0-34_0-35.mp4""}",True,False,,0.0,,(6) Extremely Similar,True,72.0,,,4.553,220.0,230.0,10.0,0.4271844660194174,0.44660194174757273,False,False,False,False,0,block-a,CustomTrial,Info,0-34_0-35.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 547}}}",{},59,2026-03-10 01:46:57,False,,,CustomTrial,547,547,,True,547,2,7,label_experiment,"{""name"": ""0-3_0-22.mp4""}",True,False,,0.0,,(3) Somewhat Dissimilar,True,73.0,,,21.976,230.0,240.0,10.0,0.44660194174757273,0.46601941747572806,False,False,False,False,0,block-a,CustomTrial,Info,0-3_0-22.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 634}}}",{},60,2026-03-10 01:47:20,False,,,CustomTrial,634,634,,True,634,2,7,label_experiment,"{""name"": ""0-7_0-32.mp4""}",True,False,,0.0,,(3) Somewhat Dissimilar,True,74.0,,,14.56,240.0,250.0,10.0,0.46601941747572806,0.4854368932038834,False,False,False,False,0,block-a,CustomTrial,Info,0-7_0-32.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 458}}}",{},61,2026-03-10 01:47:35,False,,,CustomTrial,458,458,,True,458,2,7,label_experiment,"{""name"": ""0-7_0-8.mp4""}",True,False,,0.0,,(6) Extremely Similar,True,75.0,,,10.618,250.0,260.0,10.0,0.4854368932038834,0.5048543689320387,False,False,False,False,0,block-a,CustomTrial,Info,0-7_0-8.mp4
